Company,Date,StockPrice,Revenue
Luckin Coffee,0,37.12,1
Luckin Coffee,0,39.61,1
Luckin Coffee,0,37.87,1
Luckin Coffee,1,36.4,1
Luckin Coffee,1,32.49,1
Luckin Coffee,1,31.35,1
Luckin Coffee,1,36.24,1
Alibaba,0,205.47,0.94
Alibaba,0,210.23,0.94
Alibaba,0,212.02,0.94
Alibaba,1,208.58,0.94
Alibaba,1,206.59,0.94
Alibaba,1,213.1,0.94
Alibaba,1,222.88,0.94
China Eastern Airline,0,22.4,0.99
China Eastern Airline,0,22.84,0.99
China Eastern Airline,0,23.29,0.99
China Eastern Airline,1,23.03,0.99
China Eastern Airline,1,22.79,0.99
China Eastern Airline,1,23.16,0.99
China Eastern Airline,1,23.6,0.99
Disney,0,135.9,0.11
Disney,0,138.37,0.11
Disney,0,136.06,0.11
Disney,1,137.81,0.11
Disney,1,138.31,0.11
Disney,1,141.32,0.11
Disney,1,144.73,0.11
NIKE,0,100.24,0.14
NIKE,0,100.41,0.14
NIKE,0,99.84,0.14
NIKE,1,98.19,0.14
NIKE,1,96.3,0.14
NIKE,1,99.27,0.14
NIKE,1,101.38,0.14
YUM CHINA,0,41.92,1
YUM CHINA,0,45.05,1
YUM CHINA,0,45.01,1
YUM CHINA,1,44,1
YUM CHINA,1,43.07,1
YUM CHINA,1,43.12,1
YUM CHINA,1,44.31,1
Bank of China,0,0.4,0.99
Bank of China,0,0.39,0.99
Bank of China,0,0.4,0.99
Bank of China,1,0.395,0.99
Bank of China,1,0.3905,0.99
Bank of China,1,0.3751,0.99
Bank of China,1,0.405,0.99
China Mengniu Diary,0,41.9,0.98
China Mengniu Diary,0,41.9,0.98
China Mengniu Diary,0,41.9,0.98
China Mengniu Diary,1,37.98,0.98
China Mengniu Diary,1,37.98,0.98
China Mengniu Diary,1,37.98,0.98
China Mengniu Diary,1,38.93,0.98
P&G,0,125.69,0.09
P&G,0,126.03,0.09
P&G,0,125.06,0.09
P&G,1,125.59,0.09
P&G,1,124.62,0.09
P&G,1,125.11,0.09
P&G,1,125.66,0.09
Lenovo,0,0.70975,0.38
Lenovo,0,0.7034,0.38
Lenovo,0,0.7155,0.38
Lenovo,1,0.665,0.38
Lenovo,1,0.6525,0.38
Lenovo,1,0.6555,0.38
Lenovo,1,0.7,0.38
Apple,0,308.95,0.15
Apple,0,317.69,0.15
Apple,0,324.34,0.15
Apple,1,323.87,0.15
Apple,1,309.51,0.15
Apple,1,308.66,0.15
Apple,1,318.85,0.15
Netflix,0,342.88,0
Netflix,0,348.52,0
Netflix,0,343.16,0
Netflix,1,347.74,0
Netflix,1,345.09,0
Netflix,1,358,0
Netflix,1,369.01,0
Starbucks,0,88.73,0.1
Starbucks,0,88.6,0.1
Starbucks,0,86.72,0.1
Starbucks,1,85.84,0.1
Starbucks,1,84.83,0.1
Starbucks,1,86.01,0.1
Starbucks,1,88.38,0.1
Nvidia,0,240.2,0.25
Nvidia,0,247.97,0.25
Nvidia,0,245.54,0.25
Nvidia,1,245.81,0.25
Nvidia,1,236.43,0.25
Nvidia,1,240.33,0.25
Nvidia,1,247.13,0.25
Microsoft,0,162.28,0.02
Microsoft,0,165.46,0.02
Microsoft,0,168.04,0.02
Microsoft,1,172.78,0.02
Microsoft,1,170.23,0.02
Microsoft,1,174.38,0.02
Microsoft,1,180.12,0.02
Southwest Airlines,0,56.25,0
Southwest Airlines,0,57.6,0
Southwest Airlines,0,56.89,0
Southwest Airlines,1,55.83,0
Southwest Airlines,1,54.98,0
Southwest Airlines,1,55.22,0
Southwest Airlines,1,55.68,0
Vail Resorts,0,238.49,0
Vail Resorts,0,236.64,0
Vail Resorts,0,236.75,0
Vail Resorts,1,237.09,0
Vail Resorts,1,234.51,0
Vail Resorts,1,235.31,0
Vail Resorts,1,238.34,0
Estee Lauder,0,196.99,0.17
Estee Lauder,0,197.11,0.17
Estee Lauder,0,198.73,0.17
Estee Lauder,1,198.67,0.17
Estee Lauder,1,195.16,0.17
Estee Lauder,1,196.2,0.17
Estee Lauder,1,200.42,0.17
Hyatt,0,83.61,0.1
Hyatt,0,84.76,0.1
Hyatt,0,85.34,0.1
Hyatt,1,85.92,0.1
Hyatt,1,84.54,0.1
Hyatt,1,85.95,0.1
Hyatt,1,88.03,0.1
Qualcomm,0,87.05,0.48
Qualcomm,0,89.15,0.48
Qualcomm,0,88.23,0.48
Qualcomm,1,87.78,0.48
Qualcomm,1,85.31,0.48
Qualcomm,1,86.48,0.48
Qualcomm,1,88.93,0.48
General Electric,0,11.44,0.2
General Electric,0,11.73,0.2
General Electric,0,12.94,0.2
General Electric,1,12.73,0.2
General Electric,1,12.45,0.2
General Electric,1,12.26,0.2
General Electric,1,12.58,0.2
McDonald,0,209.34,0.2
McDonald,0,210.39,0.2
McDonald,0,214.44,0.2
McDonald,1,216.18,0.2
McDonald,1,213.97,0.2
McDonald,1,215.18,0.2
McDonald,1,214.62,0.2
AMD,0,49.26,0.26
AMD,0,50.53,0.26
AMD,0,47.51,0.26
AMD,1,48.78,0.26
AMD,1,47,0.26
AMD,1,48.02,0.26
AMD,1,49.45,0.26
Intel,0,65.69,0.28
Intel,0,67.31,0.28
Intel,0,66.33,0.28
Intel,1,66.47,0.28
Intel,1,63.93,0.28
Intel,1,64.42,0.28
Intel,1,65.46,0.28
General Motors,0,33.41,0.4
General Motors,0,33.64,0.4
General Motors,0,33.6,0.4
General Motors,1,33.33,0.4
General Motors,1,33.39,0.4
General Motors,1,33.72,0.4
General Motors,1,34.37,0.4
Delta Airlines,0,56.83,0.04
Delta Airlines,0,57.48,0.04
Delta Airlines,0,56.65,0.04
Delta Airlines,1,57.1,0.04
Delta Airlines,1,55.74,0.04
Delta Airlines,1,56.04,0.04
Delta Airlines,1,57.93,0.04
Boeing,0,316.6,0.07
Boeing,0,316.56,0.07
Boeing,0,322.02,0.07
Boeing,1,323.3,0.07
Boeing,1,318.27,0.07
Boeing,1,316,0.07
Boeing,1,317.94,0.07
Alphabet,0,1431.73,0.07
Alphabet,0,1450.5,0.07
Alphabet,0,1456.7,0.07
Alphabet,1,1454.25,0.07
Alphabet,1,1432.78,0.07
Alphabet,1,1482.6,0.07
Alphabet,1,1445.41,0.07
Coca Cola,0,57.48,0.09
Coca Cola,0,57.01,0.09
Coca Cola,0,57.01,0.09
Coca Cola,1,58.86,0.09
Coca Cola,1,58.4,0.09
Coca Cola,1,58.58,0.09
Coca Cola,1,58.84,0.09
Facebook,0,214.87,0.1
Facebook,0,217.79,0.1
Facebook,0,223.23,0.1
Facebook,1,209.53,0.1
Facebook,1,201.91,0.1
Facebook,1,204.19,0.1
Facebook,1,209.83,0.1
IBM,0,138.62,0.14
IBM,0,139.55,0.14
IBM,0,137.69,0.14
IBM,1,136.77,0.14
IBM,1,143.73,0.14
IBM,1,146.27,0.14
IBM,1,149.11,0.14