company,day,stock_price,revenue_p
3m,0,175.63,10
3m,0,165.58,10
3m,0,162,10
3m,1,162.51,10
3m,1,158.66,10
3m,1,156.59,10
3m,1,157.24,10
a.o. smith,0,43.81,35
a.o. smith,0,45.49,35
a.o. smith,0,44.31,35
a.o. smith,1,43.45,35
a.o. smith,1,42.69,35
a.o. smith,1,42.28,35
a.o. smith,1,42.79,35
abbott laboratories,0,89.59,8
abbott laboratories,0,89.54,8
abbott laboratories,0,89.14,8
abbott laboratories,1,89.16,8
abbott laboratories,1,87.14,8
abbott laboratories,1,87.06,8
abbott laboratories,1,88.23,8
acacia communications,0,68.73,30
acacia communications,0,68.51,30
acacia communications,0,68.66,30
acacia communications,1,68.83,30
acacia communications,1,68.55,30
acacia communications,1,68.55,30
acacia communications,1,68.845,30
agilent technologies inc,0,86.56,21
agilent technologies inc,0,87.18,21
agilent technologies inc,0,87.24,21
agilent technologies inc,1,84.38,21
agilent technologies inc,1,82.56,21
agilent technologies inc,1,82.15,21
agilent technologies inc,1,83.52,21
air china,0,0.85,67
air china,0,0.85,67
air china,0,0.85,67
air china,1,0.85,67
air china,1,0.85,67
air china,1,0.85,67
air china,1,0.87,67
alibaba,0,205.47,94
alibaba,0,210.23,94
alibaba,0,212.02,94
alibaba,1,208.58,94
alibaba,1,206.59,94
alibaba,1,213.1,94
alibaba,1,222.88,94
alphabet,0,1431.73,7
alphabet,0,1450.5,7
alphabet,0,1456.7,7
alphabet,1,1454.25,7
alphabet,1,1432.78,7
alphabet,1,1482.6,7
alphabet,1,1445.41,7
amd,0,49.26,26
amd,0,50.53,26
amd,0,47.51,26
amd,1,48.78,26
amd,1,47,26
amd,1,48.02,26
amd,1,49.45,26
american airlines,0,26.11,2
american airlines,0,26.9,2
american airlines,0,26.8,2
american airlines,1,27.72,2
american airlines,1,26.84,2
american airlines,1,27.16,2
american airlines,1,28.43,2
amphenol corp,0,102.63,30
amphenol corp,0,103.41,30
amphenol corp,0,103.42,30
amphenol corp,1,101.87,30
amphenol corp,1,99.47,30
amphenol corp,1,99.95,30
amphenol corp,1,103.84,30
analog devices,0,112.21,17
analog devices,0,114.31,17
analog devices,0,113.23,17
analog devices,1,112.37,17
analog devices,1,109.75,17
analog devices,1,110,17
analog devices,1,112.46,17
apple,0,308.95,15
apple,0,317.69,15
apple,0,324.34,15
apple,1,323.87,15
apple,1,309.51,15
apple,1,308.66,15
apple,1,318.85,15
applied materials,0,59.05,19
applied materials,0,60.19,19
applied materials,0,59.82,19
applied materials,1,60.25,19
applied materials,1,57.99,19
applied materials,1,59.72,19
applied materials,1,63.01,19
aptiv plc,0,88.6,26
aptiv plc,0,89.64,26
aptiv plc,0,89.88,26
aptiv plc,1,87.68,26
aptiv plc,1,84.79,26
aptiv plc,1,86.72,26
aptiv plc,1,90.51,26
avery dennison,0,127.84,20
avery dennison,0,129.21,20
avery dennison,0,136.23,20
avery dennison,1,136.11,20
avery dennison,1,131.24,20
avery dennison,1,133.98,20
avery dennison,1,136.85,20
baidu,0,126.28,100
baidu,0,126.93,100
baidu,0,126.47,100
baidu,1,125.47,100
baidu,1,123.56,100
baidu,1,130.49,100
baidu,1,131.47,100
bank of america,0,32.85,1
bank of america,0,33.24,1
bank of america,0,33.01,1
bank of america,1,33.48,1
bank of america,1,32.83,1
bank of america,1,32.97,1
bank of america,1,33.62,1
bank of china,0,0.4,99
bank of china,0,0.39,99
bank of china,0,0.4,99
bank of china,1,0.395,99
bank of china,1,0.3905,99
bank of china,1,0.3751,99
bank of china,1,0.405,99
bilibili,0,22.3,100
bilibili,0,22.41,100
bilibili,0,22.38,100
bilibili,1,21.26,100
bilibili,1,21.55,100
bilibili,1,23.04,100
bilibili,1,23.58,100
boeing,0,316.6,7
boeing,0,316.56,7
boeing,0,322.02,7
boeing,1,323.3,7
boeing,1,318.27,7
boeing,1,316,7
boeing,1,317.94,7
broadcom,0,309.03,54
broadcom,0,318.31,54
broadcom,0,317.51,54
broadcom,1,315.2,54
broadcom,1,305.16,54
broadcom,1,305.23,54
broadcom,1,311.6,54
cardinal health,0,53.38,0
cardinal health,0,53.8,0
cardinal health,0,53.74,0
cardinal health,1,53.29,0
cardinal health,1,51.21,0
cardinal health,1,51.26,0
cardinal health,1,51.59,0
china biological products,0,115.94,100
china biological products,0,116.1,100
china biological products,0,116.59,100
china biological products,1,116.17,100
china biological products,1,115.9,100
china biological products,1,115.93,100
china biological products,1,116,100
china eastern airline,0,22.4,99
china eastern airline,0,22.84,99
china eastern airline,0,23.29,99
china eastern airline,1,23.03,99
china eastern airline,1,22.79,99
china eastern airline,1,23.16,99
china eastern airline,1,23.6,99
china life insurance,0,12.37,100
china life insurance,0,12.52,100
china life insurance,0,12.66,100
china life insurance,1,12.44,100
china life insurance,1,11.91,100
china life insurance,1,11.95,100
china life insurance,1,12.31,100
china mengniu diary,0,41.9,98
china mengniu diary,0,41.9,98
china mengniu diary,0,41.9,98
china mengniu diary,1,37.98,98
china mengniu diary,1,37.98,98
china mengniu diary,1,37.98,98
china mengniu diary,1,38.93,98
china online education group,0,14.11,100
china online education group,0,14.27,100
china online education group,0,14.18,100
china online education group,1,14.18,100
china online education group,1,13.65,100
china online education group,1,13.02,100
china online education group,1,14.41,100
cigna,0,199.95,9
cigna,0,205.33,9
cigna,0,202.54,9
cigna,1,196.99,9
cigna,1,192.38,9
cigna,1,191.77,9
cigna,1,196.86,9
cisco,0,47.47,16
cisco,0,47.77,16
cisco,0,47.05,16
cisco,1,47.24,16
cisco,1,45.97,16
cisco,1,46.53,16
cisco,1,47.62,16
citigroup,0,76.71,1
citigroup,0,77.24,1
citigroup,0,76.48,1
citigroup,1,77.43,1
citigroup,1,74.41,1
citigroup,1,75.13,1
citigroup,1,76.5,1
coca cola,0,57.48,9
coca cola,0,57.01,9
coca cola,0,57.01,9
coca cola,1,58.86,9
coca cola,1,58.4,9
coca cola,1,58.58,9
coca cola,1,58.84,9
corning inc,0,28.56,22
corning inc,0,28,22
corning inc,0,28.35,22
corning inc,1,27.69,22
corning inc,1,26.69,22
corning inc,1,26.91,22
corning inc,1,27.58,22
costco wholesale,0,309.45,0
costco wholesale,0,310.85,0
costco wholesale,0,309.58,0
costco wholesale,1,309.47,0
costco wholesale,1,305.52,0
costco wholesale,1,302,0
costco wholesale,1,304.9,0
cummins inc,0,164.77,11
cummins inc,0,166.08,11
cummins inc,0,165.69,11
cummins inc,1,166.1,11
cummins inc,1,159.97,11
cummins inc,1,162.89,11
cummins inc,1,161,11
dell,0,48.15,30
dell,0,48.68,30
dell,0,48.95,30
dell,1,49.38,30
dell,1,48.77,30
dell,1,49.18,30
dell,1,51.03,30
delta airlines,0,56.83,4
delta airlines,0,57.48,4
delta airlines,0,56.65,4
delta airlines,1,57.1,4
delta airlines,1,55.74,4
delta airlines,1,56.04,4
delta airlines,1,57.93,4
walt disney,0,135.9,11
walt disney,0,138.37,11
walt disney,0,136.06,11
walt disney,1,137.81,11
walt disney,1,138.31,11
walt disney,1,141.32,11
walt disney,1,144.73,11
estee lauder,0,196.99,17
estee lauder,0,197.11,17
estee lauder,0,198.73,17
estee lauder,1,198.67,17
estee lauder,1,195.16,17
estee lauder,1,196.2,17
estee lauder,1,200.42,17
facebook,0,214.87,10
facebook,0,217.79,10
facebook,0,223.23,10
facebook,1,209.53,10
facebook,1,201.91,10
facebook,1,204.19,10
facebook,1,209.83,10
fedex,0,148.49,2
fedex,0,148.4,2
fedex,0,148.06,2
fedex,1,148.26,2
fedex,1,144.64,2
fedex,1,143.84,2
fedex,1,147.51,2
ford motor,0,8.89,1
ford motor,0,8.97,1
ford motor,0,8.86,1
ford motor,1,8.84,1
ford motor,1,8.82,1
ford motor,1,8.98,1
ford motor,1,9.18,1
general electric,0,11.44,20
general electric,0,11.73,20
general electric,0,12.94,20
general electric,1,12.73,20
general electric,1,12.45,20
general electric,1,12.26,20
general electric,1,12.58,20
general motors,0,33.41,40
general motors,0,33.64,40
general motors,0,33.6,40
general motors,1,33.33,40
general motors,1,33.39,40
general motors,1,33.72,40
general motors,1,34.37,40
goldman sachs,0,238.14,17
goldman sachs,0,242.58,17
goldman sachs,0,240.12,17
goldman sachs,1,244.13,17
goldman sachs,1,237.75,17
goldman sachs,1,239.01,17
goldman sachs,1,241.94,17
home depot,0,231.19,2
home depot,0,233.86,2
home depot,0,234.02,2
home depot,1,232.79,2
home depot,1,228.1,2
home depot,1,231.54,2
home depot,1,235,2
honeywell international,0,173.54,7
honeywell international,0,175.46,7
honeywell international,0,175.67,7
honeywell international,1,178.34,7
honeywell international,1,173.22,7
honeywell international,1,171.32,7
honeywell international,1,175.21,7
hp,0,21.58,25
hp,0,21.64,25
hp,0,21.43,25
hp,1,21.53,25
hp,1,21.32,25
hp,1,21.3,25
hp,1,21.55,25
hyatt,0,83.61,10
hyatt,0,84.76,10
hyatt,0,85.34,10
hyatt,1,85.92,10
hyatt,1,84.54,10
hyatt,1,85.95,10
hyatt,1,88.03,10
ibm,0,138.62,14
ibm,0,139.55,14
ibm,0,137.69,14
ibm,1,136.77,14
ibm,1,143.73,14
ibm,1,146.27,14
ibm,1,149.11,14
intel,0,65.69,28
intel,0,67.31,28
intel,0,66.33,28
intel,1,66.47,28
intel,1,63.93,28
intel,1,64.42,28
intel,1,65.46,28
ipg photonics,0,134.67,44
ipg photonics,0,136.69,44
ipg photonics,0,130.07,44
ipg photonics,1,131.13,44
ipg photonics,1,127.67,44
ipg photonics,1,140.29,44
ipg photonics,1,140.29,44
iqiyi,0,21.99,100
iqiyi,0,22.51,100
iqiyi,0,22.53,100
iqiyi,1,22.43,100
iqiyi,1,22.24,100
iqiyi,1,23.85,100
iqiyi,1,24.14,100
jd.com,0,37.65,100
jd.com,0,38.91,100
jd.com,0,39.14,100
jd.com,1,38.49,100
jd.com,1,37.69,100
jd.com,1,39.2,100
jd.com,1,40.35,100
johnson & johnson,0,14875,20
johnson & johnson,0,149.5,20
johnson & johnson,0,150.54,20
johnson & johnson,1,150.36,20
johnson & johnson,1,148.87,20
johnson & johnson,1,150.17,20
johnson & johnson,1,151.6,20
kroger,0,28.33,0
kroger,0,28.33,0
kroger,0,27.45,0
kroger,1,27.55,0
kroger,1,26.86,0
kroger,1,26.98,0
kroger,1,27.39,0
lenovo,0,0.70975,38
lenovo,0,0.7034,38
lenovo,0,0.7155,38
lenovo,1,0.665,38
lenovo,1,0.6525,38
lenovo,1,0.6555,38
lenovo,1,0.7,38
luckin coffee,0,37.12,100
luckin coffee,0,39.61,100
luckin coffee,0,37.87,100
luckin coffee,1,36.4,100
luckin coffee,1,32.49,100
luckin coffee,1,31.35,100
luckin coffee,1,36.24,100
mcdonald,0,209.34,20
mcdonald,0,210.39,20
mcdonald,0,214.44,20
mcdonald,1,216.18,20
mcdonald,1,213.97,20
mcdonald,1,215.18,20
mcdonald,1,214.62,20
merck,0,86.1,29
merck,0,86.25,29
merck,0,87.24,29
merck,1,86.5,29
merck,1,85.44,29
merck,1,87.34,29
merck,1,88.36,29
mettler-toledo international,0,799.88,16
mettler-toledo international,0,799.95,16
mettler-toledo international,0,802.62,16
mettler-toledo international,1,777,16
mettler-toledo international,1,757.18,16
mettler-toledo international,1,758.06,16
mettler-toledo international,1,768,16
mgm resorts,0,30.35,20
mgm resorts,0,30.97,20
mgm resorts,0,31.27,20
mgm resorts,1,31.3,20
mgm resorts,1,31.06,20
mgm resorts,1,31.21,20
mgm resorts,1,32.25,20
microchip technology inc,0,102.98,32
microchip technology inc,0,104.2,32
microchip technology inc,0,102.46,32
microchip technology inc,1,101.56,32
microchip technology inc,1,97.48,32
microchip technology inc,1,97.55,32
microchip technology inc,1,101.71,32
micron technology,0,55.41,51
micron technology,0,56.47,51
micron technology,0,55.3,51
micron technology,1,55.03,51
micron technology,1,53.09,51
micron technology,1,53.78,51
micron technology,1,55.5,51
microsoft,0,162.28,2
microsoft,0,165.46,2
microsoft,0,168.04,2
microsoft,1,172.78,2
microsoft,1,170.23,2
microsoft,1,174.38,2
microsoft,1,180.12,2
netflix,0,342.88,0
netflix,0,348.52,0
netflix,0,343.16,0
netflix,1,347.74,0
netflix,1,345.09,0
netflix,1,358,0
netflix,1,369.01,0
nike,0,100.24,14
nike,0,100.41,14
nike,0,99.84,14
nike,1,98.19,14
nike,1,96.3,14
nike,1,99.27,14
nike,1,101.38,14
nvidia,0,240.2,25
nvidia,0,247.97,25
nvidia,0,245.54,25
nvidia,1,245.81,25
nvidia,1,236.43,25
nvidia,1,240.33,25
nvidia,1,247.13,25
oracle,0,52.69,12
oracle,0,53.46,12
oracle,0,53.2,12
oracle,1,53.31,12
oracle,1,52.45,12
oracle,1,53.09,12
oracle,1,54.04,12
p&g,0,125.69,9
p&g,0,126.03,9
p&g,0,125.06,9
p&g,1,125.59,9
p&g,1,124.62,9
p&g,1,125.11,9
p&g,1,125.66,9
pepsico,0,142.14,3
pepsico,0,142.44,3
pepsico,0,141.73,3
pepsico,1,143.83,3
pepsico,1,142.02,3
pepsico,1,142.51,3
pepsico,1,143.22,3
petro china,0,0.487,65
petro china,0,0.487,65
petro china,0,0.473,65
petro china,1,0.4393,65
petro china,1,0.453,65
petro china,1,0.438,65
petro china,1,0.452,65
petro china company,0,46.12,100
petro china company,0,46.02,100
petro china company,0,45.86,100
petro china company,1,45.36,100
petro china company,1,44.01,100
petro china company,1,43.08,100
petro china company,1,43.93,100
pfizer,0,40.16,20
pfizer,0,38.14,20
pfizer,0,37.58,20
pfizer,1,37.07,20
pfizer,1,37.24,20
pfizer,1,37.51,20
pfizer,1,37.69,20
philips,0,48.7,14
philips,0,47.83,14
philips,0,47.29,14
philips,1,47.04,14
philips,1,45.78,14
philips,1,46.24,14
philips,1,47.56,14
pinduoduo,0,36.59,100
pinduoduo,0,36.96,100
pinduoduo,0,36.74,100
pinduoduo,1,35.93,100
pinduoduo,1,35.22,100
pinduoduo,1,35.79,100
pinduoduo,1,36.51,100
qorvo,0,109.98,62
qorvo,0,113.56,62
qorvo,0,112.57,62
qorvo,1,111.79,62
qorvo,1,105.86,62
qorvo,1,107.56,62
qorvo,1,107.89,62
qualcomm,0,87.05,48
qualcomm,0,89.15,48
qualcomm,0,88.23,48
qualcomm,1,87.78,48
qualcomm,1,85.31,48
qualcomm,1,86.48,48
qualcomm,1,88.93,48
skyworks solutions,0,116.88,83
skyworks solutions,0,119.79,83
skyworks solutions,0,117.89,83
skyworks solutions,1,116.23,83
skyworks solutions,1,113.15,83
skyworks solutions,1,115.03,83
skyworks solutions,1,117.96,83
southwest airlines,0,56.25,0
southwest airlines,0,57.6,0
southwest airlines,0,56.89,0
southwest airlines,1,55.83,0
southwest airlines,1,54.98,0
southwest airlines,1,55.22,0
southwest airlines,1,55.68,0
sptjf,0,0.26,1
sptjf,0,0.26,1
sptjf,0,0.26,1
sptjf,1,0.26,1
sptjf,1,0.26,1
sptjf,1,0.26,1
sptjf,1,0.26,1
starbucks,0,88.73,10
starbucks,0,88.6,10
starbucks,0,86.72,10
starbucks,1,85.84,10
starbucks,1,84.83,10
starbucks,1,86.01,10
starbucks,1,88.38,10
te connectivity,0,96.84,18
te connectivity,0,98.1,18
te connectivity,0,98.07,18
te connectivity,1,95.82,18
te connectivity,1,92.18,18
te connectivity,1,94,18
te connectivity,1,95.33,18
texas instruments,0,126.31,44
texas instruments,0,128.04,44
texas instruments,0,125.49,44
texas instruments,1,124.42,44
texas instruments,1,120.65,44
texas instruments,1,123.4,44
texas instruments,1,126.47,44
vail resorts,0,238.49,0
vail resorts,0,236.64,0
vail resorts,0,236.75,0
vail resorts,1,237.09,0
vail resorts,1,234.51,0
vail resorts,1,235.31,0
vail resorts,1,238.34,0
vipshop,0,13.17,100
vipshop,0,13.23,100
vipshop,0,13.26,100
vipshop,1,12.91,100
vipshop,1,12.73,100
vipshop,1,12.9,100
vipshop,1,13.34,100
walgreens boots alliance,0,52.23,0
walgreens boots alliance,0,52.78,0
walgreens boots alliance,0,52.28,0
walgreens boots alliance,1,51.95,0
walgreens boots alliance,1,50.85,0
walgreens boots alliance,1,50.95,0
walgreens boots alliance,1,52.34,0
walmart,0,115.86,1
walmart,0,116.6,1
walmart,0,115.89,1
walmart,1,116.58,1
walmart,1,114.49,1
walmart,1,114.27,1
walmart,1,115.27,1
western digital,0,66.66,22
western digital,0,68.41,22
western digital,0,66.76,22
western digital,1,66.96,22
western digital,1,65.5,22
western digital,1,67.24,22
western digital,1,68.43,22
whirlpool,0,148.23,27
whirlpool,0,156.67,27
whirlpool,0,154.1,27
whirlpool,1,152.79,27
whirlpool,1,146.17,27
whirlpool,1,147.15,27
whirlpool,1,150.16,27
wynn resorts,0,123.89,73
wynn resorts,0,124.97,73
wynn resorts,0,123.85,73
wynn resorts,1,126.62,73
wynn resorts,1,126.16,73
wynn resorts,1,128.58,73
wynn resorts,1,132.7,73
xiaomi corp,0,1.6,72
xiaomi corp,0,1.64,72
xiaomi corp,0,1.61,72
xiaomi corp,1,1.53,72
xiaomi corp,1,1.48,72
xiaomi corp,1,1.57,72
xiaomi corp,1,1.64,72
xilinx inc,0,97,25
xilinx inc,0,98.61,25
xilinx inc,0,88.06,25
xilinx inc,1,87.2,25
xilinx inc,1,84.48,25
xilinx inc,1,85.05,25
xilinx inc,1,85.78,25
yum china,0,41.92,100
yum china,0,45.05,100
yum china,0,45.01,100
yum china,1,44,100
yum china,1,43.07,100
yum china,1,43.12,100
yum china,1,44.31,100
zto express,0,22.21,100
zto express,0,22.27,100
zto express,0,22.42,100
zto express,1,22,100
zto express,1,21.72,100
zto express,1,22.18,100
zto express,1,23.23,100